Period,State_1,Nobs_1,Price_Av_1,Price_Med_1,Price_Av_Pure_1,Price_Med_Pure_1,Price_OLS_1,Price_RLS_1,Price_exp_1,Price_ppgLOS_1,State_2,Nobs_2,Price_Av_2,Price_Med_2,Price_Av_Pure_2,Price_Med_Pure_2,Price_OLS_2,Price_RLS_2,Price_exp_2,Price_ppgLOS_2
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , DE , 27 , 2012.55555555556 , 986 , 697.464438977296 , 65.1726681 , -313.136487784208 , -2.87307551010318 , 1855.08039956272 , -313.136487784208 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , DE , 31 , 2715.22580645161 , 602 , 7320.66859580868 , 85.48313605 , -1007.22788286 , -101.231032598346 , 4441.47417096664 , -1007.22788286 , 
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , FL , 430 , 1781.6488372093 , 927.5 , 206.455867409202 , 69.822411265 , 838.868868931002 , 374.32886447312 , 2442.64682586913 , 838.868868931002 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , FL , 404 , 1332.05198019802 , 807 , 283.935999956601 , 68.610203595 , 427.252206351119 , 347.788716553007 , 2233.58952647829 , 427.252206351119 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , FL , 414 , 1463.09178743961 , 906.5 , 136.232748108643 , 68.82135425 , 453.178183110397 , 387.489782673255 , 2374.51083623583 , 453.178183110397 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , FL , 412 , 1351.25485436893 , 1014 , 130.906049489731 , 67.661090115 , 814.913391697973 , 578.178775417622 , 2351.2792386996 , 814.913391697973 , 
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , FL , 433 , 1239.90531177829 , 898 , 205.145611298527 , 68.20591856 , 417.757556190979 , 351.127444445492 , 2338.3679740848 , 417.757556190979 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , FL , 406 , 1526.06157635468 , 921 , 141.815260990931 , 65.723389755 , 454.5072505079 , 392.553971413639 , 2509.717917202 , 454.5072505079 , 
7 , AL , 33 , 1254.36363636364 , 967 , 160.128787477061 , 91.82853465 , 459.184859347112 , 364.102743164253 , 2779.26396773477 , 459.184859347112 , FL , 99 , 1167.23232323232 , 843 , 153.499479460596 , 69.88762944 , 441.615398279625 , 372.415080211798 , 2063.19901758766 , 441.615398279625 , 
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , GA , 253 , 1417.93675889328 , 926 , 270.473448273605 , 73.44952318 , 656.074766802817 , 335.378729958138 , 2178.31128494226 , 656.074766802817 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , GA , 238 , 1571.14705882353 , 1017.5 , 105.167616626387 , 68.286647225 , 468.100300086655 , 361.953603078395 , 2851.8176642302 , 468.100300086655 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , GA , 257 , 1432.00778210117 , 903 , 130.203623234786 , 69.74983855 , 367.087457321076 , 287.330093446104 , 2178.56994925432 , 367.087457321076 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , GA , 278 , 1486.78417266187 , 974 , 206.703199732745 , 70.52912681 , 375.900498567126 , 358.85936451555 , 2509.84098429654 , 375.900498567126 , 
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , GA , 275 , 1391.98909090909 , 952 , 265.660804729044 , 68.976027 , 658.88116448298 , 395.304108826661 , 2730.54610774978 , 658.88116448298 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , GA , 268 , 1473.66417910448 , 940.5 , 152.525955298817 , 68.139548305 , 479.651574037879 , 369.281277528502 , 2707.92506388925 , 479.651574037879 , 
7 , AL , 33 , 1254.36363636364 , 967 , 160.128787477061 , 91.82853465 , 459.184859347112 , 364.102743164253 , 2779.26396773477 , 459.184859347112 , GA , 70 , 1227.68571428571 , 940 , 388.915980097643 , 67.464771515 , 394.544412912174 , 352.476603009818 , 2455.74801820609 , 394.544412912174 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , HI , 18 , 1908.83333333333 , 1426 , 262.056926751056 , 79.063562425 , 1099.74738763151 , 914.21624025286 , 2750.89328574313 , 1099.74738763151 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , IA , 17 , 1004.11764705882 , 1013 , 139.760030010588 , 100.2179538 , 818.47831605207 , 806.510778832845 , 3470.73125084506 , 818.47831605207 , 
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , IA , 17 , 1068.05882352941 , 754 , 98.2941296617647 , 71.12637148 , 428.088031982528 , 420.979479602978 , 3589.11082158843 , 428.088031982528 , 
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , IL , 207 , 1689.03381642512 , 1210 , 132.229412508556 , 67.23420562 , 271.211382590782 , 328.269866119105 , 2332.81048788842 , 271.211382590782 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , IL , 219 , 1896.75799086758 , 1233 , 239.90621154542 , 62.05335588 , 946.968955969509 , 531.085985748458 , 2242.65041565054 , 946.968955969509 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , IL , 217 , 1780.98156682028 , 1294 , 157.37658015306 , 68.58977525 , 913.681545578858 , 593.378954489333 , 2688.49675317012 , 913.681545578858 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , IL , 238 , 1883.84453781513 , 1319 , 135.887293736416 , 65.497208715 , 693.424926425027 , 533.477048925753 , 3058.2968706759 , 693.424926425027 , 
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , IL , 212 , 1914.65094339623 , 1082 , 112.684167733198 , 65.846077795 , 291.331792201869 , 361.433017056075 , 3067.75629456143 , 291.331792201869 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , IL , 188 , 1765.43085106383 , 1206.5 , 127.360081482218 , 66.499332435 , 567.363701116911 , 516.88669116077 , 2636.09297905029 , 567.363701116911 , 
7 , AL , 33 , 1254.36363636364 , 967 , 160.128787477061 , 91.82853465 , 459.184859347112 , 364.102743164253 , 2779.26396773477 , 459.184859347112 , IL , 47 , 1537.82978723404 , 1384 , 118.808136232979 , 71.63936009 , 636.911322207368 , 517.96890838108 , 2576.5875265253 , 636.911322207368 , 
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , IN , 91 , 1998.69230769231 , 1197 , 180.193717536165 , 66.98188253 , 445.244684790229 , 388.851954619681 , 2432.88356977606 , 445.244684790229 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , IN , 78 , 1402.58974358974 , 1054.5 , 139.454624690654 , 82.368409685 , 733.129844555214 , 623.456305465483 , 2153.57881091288 , 733.129844555214 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , IN , 75 , 1824.93333333333 , 1045 , 1056.43345323089 , 67.13744525 , 502.874010732519 , 333.645052117671 , 2537.6590292525 , 502.874010732519 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , IN , 83 , 1246.02409638554 , 915 , 144.752026346675 , 68.95189833 , 821.210160723498 , 678.437004428493 , 1556.13796332955 , 821.210160723498 , 
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , IN , 88 , 1719.09090909091 , 1068.5 , 109.14744723192 , 66.867406385 , 341.382700672303 , 313.928483838758 , 2619.9266778689 , 341.382700672303 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , IN , 79 , 1313.60759493671 , 858 , 630.074306711987 , 78.73041569 , 261.923231335122 , 274.789172861626 , 2052.5729900846 , 261.923231335122 , 
7 , AL , 33 , 1254.36363636364 , 967 , 160.128787477061 , 91.82853465 , 459.184859347112 , 364.102743164253 , 2779.26396773477 , 459.184859347112 , IN , 30 , 1473.16666666667 , 956.5 , 182.6069156245 , 68.492147565 , 388.434211927303 , 329.448880833121 , 2995.57573682474 , 388.434211927303 , 
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , KS , 28 , 1572.07142857143 , 1235.5 , 134.399008031071 , 98.21247856 , 681.825449672234 , 649.763113684256 , 2803.0645769641 , 681.825449672234 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , KS , 35 , 1079.11428571429 , 991 , 102.193739606571 , 76.17255713 , 831.198492798739 , 654.375323028888 , 2139.62457737452 , 831.198492798739 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , KS , 35 , 1895.8 , 1201 , 88.2466494302857 , 73.33634973 , 563.996922075613 , 504.117682113035 , 3052.85267088786 , 563.996922075613 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , KS , 40 , 1332.55 , 1080 , 232.8898232285 , 70.76627449 , 727.81598107977 , 642.143829123708 , 2804.46172134129 , 727.81598107977 , 
